ID,LABEL,InSubset,Parent,alternative label,definition,definition source,term editor,comment,example of usage,has part,is about
VO:0001199,pathogen challenge datum,data item,measurement datum,,A measurement datum that represents a specific pathogen used for animal challenge study. Different pathogens can be represented using discretized digitals.  ,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001198,pathogen strain for challenge datum,data item,measurement datum,,A measurement datum that represents a specific pathogen strain used for animal challenge study. Different pathogen strains can be represented using discretized digitals.  ,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0000555,titer,data item,measurement datum,,"A titer (or titre) is a measure of concentration. Titer testing employs serial dilution to obtain approximate quantitative information from an analytical procedure that inherently only evaluates as positive or negative. The titer corresponds to the highest dilution factor that still yields a positive reading; for example, positive readings in the first 8 serial twofold dilutions translate into a titer of 1:256.",WEB:http://en.wikipedia.org/wiki/Titer,YH,,,,
VO:0000809,vaccination coverage,data item,measurement datum,immunization coverage,A measure datum that measures the coverage of vaccination in a specific area during a specific time period.,WEB: http://www.sanofipasteur.com/sanofi-pasteur2/front/index.jsp?siteCode=SP_CORP&codeRubrique=19|WEB: http://www.who.int/immunization_monitoring/routine/immunization_coverage/en/,"YH, MC",,,,
VO:0001193,vaccination mouse strain datum,data item,measurement datum,,"A measurement datum that represents a specific mouse strain used for vaccination. Different strains can be represented using discretized digitals.  For example, 0 = BALB/c; 1 = CD1; 2 = mixed/outbred; 3 = C57BL/6; 4 = OF1; 5 = 129/Sv; 6 = Swiss albino.
","He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001195,vaccination route datum,data item,measurement datum,,"A measurement datum that represents a specific route (e.g., i.p.) used for vaccination. Different routes can be represented using discretized digitals.  0 = IP; 1 = PO; 2 = SC; 3 = IM; 4 = IN; 6 = IG; 7 = IV; 8 = ID.

","He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001203,vaccination-challenge interval in days,data item,measurement datum,,A measurement datum that represents a length of days as the interval between a vaccination and a challenge in a specific vaccine protection study. ,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001190,vaccine adjuvant usage datum,data item,measurement datum,,A measurement datum that indicates the usage of a vaccine adjuvant. Different digital numbers can be used to represent different adjuvants. ,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0000443,vaccine effectiveness rate,data item,measurement datum,,"A measurement datum that measues the vaccine effectiveness.  It is assessed with respect to prevention of the disease against which the vaccine is given. 
One simple method to estimate vaccine effectiveness is to use routine data on notifications of disease cases in vaccinated and unvaccinatted children and to compare the porportion of cases vaccinated with the vaccine covervage among the same age group in the general population. If p is the proportion vaccinated in the population and c is the proportion of cases reported to be vaccinated, then
VE = (p-c)/p(1-c) x 100%.","Hadler TC, et al. Immunization in developing countries. In: Vaccines. Editors: Plotkin S, et al. 2008. p1542-71.|WEB: http://en.wikipedia.org/wiki/Influenza_vaccine","YH, MC",,,,
VO:0001206,vaccine protection efficacy datum,data item,measurement datum,,"A measurement datum that represents a type of vaccine protection efficacy as an outcome of a vaccine protection study. The result can be represented as a digit, for example, 0 = no protection, and 1 = protection (determined by a p-value cutoff).","He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001191,vaccine protective antigen datum,data item,measurement datum,,A measurement datum that represents a specific protective antigen used in a vaccine. The antigen can be represented by a described digit. ,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001188,vaccine strain datum,data item,measurement datum,,A measurement datum that represents a vaccine strain. Different strains can be represented using distinct digital numbers. ,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001189,vaccine viability datum,data item,measurement datum,,A measurement datum that represents vaccine viability. 0 = live; 1 = irradiated; 2 = killed.,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0001205,CFU reduction per spleen,data item,reduction of colony forming unit,,A reduction of colony forming unit that was measured with the unit of colony forming units (CFU) from the sample of mouse spleen.,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0000150,antibody titer,data item,titer,,"A titer of antibody that shows how much antibody an organism has produced that recognizes a particular epitope, expressed as the greatest dilution ratio (or its reciprocal) that still gives a positive result. ELISA is a common means of determining antibody titers.",WEB: http://en.wikipedia.org/wiki/Antibody_titer,YH,,,,
VO:0000189,colony forming unit,data item,titer,CFU,"A titer measurement of viable bacterial or fungal numbers. Unlike in direct microscopic counts where all cells, dead and living, are counted, CFU measures viable cells. By convenience the results are given as CFU/mL (colony-forming units per milliliter) for water, and CFU/g (colony-forming units per gram) for soil or other porous material.",WEB: http://en.wikipedia.org/wiki/Colony-forming_unit,YH,,,,
VO:0001164,reduction of colony forming unit,data item,titer,,A titer measurement of viable bacterial or fungal numbers. It equals to a reduction of a CFU count from another CFU count. This term is often used as a measurement of a vaccine protection study.,,"YH, ZX",,,,
VO:0001196,vaccination dose (unit: CFU),data item,vaccination dose,,A vaccination dose that is used with the unit of colony forming units (CFU).,"He Y, Xiang Z, Todd T, Courtot M, Brinkman R, Zheng J, Stoeckert CJ, Malone J, Rocca-Serra P, Sansone S, Fostel J, Soldatova LN, Peters B, Rutternberg A. Ontology representation and ANOVA analysis of vaccine protection investigation. Proceeding of Bio-Ontologies 2010: Semantic Applications in Life Sciences, ISMB, July 9-10, 2010. Boston, MA, USA. Full length paper. URL: http://www.hegroup.org/docs/ANOVA_Vaccine_usecase_camera.pdf|Todd TE, Tibi O, Lin Y, Sayers S, Bronner DN, Xiang Z, He Y. Meta-analysis of variables affecting mouse protection efficacy of whole organism Brucella vaccines and vaccine candidates. BMC Bioinformatics. 2013, 14(Suppl 6):S3. PMID: 23735014. PMCID: PMC3633026. ",YH,,,,
VO:0010264,host disease state datum,data item,IAO:0000109,,A measurement datum that records the presence of a disease process in a host during the implementation of a vaccine study.,,Anthony Huffman,,,,
VO:0010265,host sex datum,data item,VO:0001194,,A biological sex datum that records the biological sex of the target of a vaccine.,,Anthony Huffman,,,,
VO:0010266,host age datum,data item,IAO:0000109,,A measurment datum that records  the age of thost.,,Anthony Huffman,,,,
VO:0010267,host pregnancy datum,data item,IAO:0000109,,A measurement datum that records to involvement of the host of the pregnancy process.,,Anthony Huffman,,,,
VO:0010268,host comorbidity datum,data item,IAO:0000109,,A measurment datum that records the quality of the host to have a comorbidity.,,Anthony Huffman,,,,
VO:0010269,host pathogen exposure datum,data item,IAO:0000109,,A measurment datum that  records the presence of a prior infection or immune memory to a pathogen.,,Anthony Huffman,,,,
VO:0010270,challenge-killing interval datum,data item,IAO:0000109,,A measurment datum that  records the interval between the vaccine challenge and the sacrifice of the organism during a vaccine challenge.,,Anthony Huffman,,,,
VO:0010271,challenge admistration route datum,data item,IAO:0000109,,A measurment datum that records the route of a pathogen challenge occurs in.,,Anthony Huffman,,,,
VO:0010272,sacrifice process datum,data item,IAO:0000109,,A measurment datum that records the method of sacrifice (i.e. killing). ,,Anthony Huffman,,,,
VO:0010273,host adverse event  to vaccine datum,data item,IAO:0000109,,A measurment datum that records the presence or abasence of adverse event in a host in response of some vaccine.,,Anthony Huffman,,,,
VO:0010274,assay mesurement datum,data item,IAO:0000109,,A measurment datum that records the measurement of an assay.,,Anthony Huffman,,,,
VO:0010275,assay  measurement sample  interval,data item,IAO:0000109,,A measurment datum that records the time point between the start of a first intervention in a planned process and the measurment of a sample.,,Anthony Huffman,,,,
VO:0010276,assay type datum,data item,IAO:0000109,,A measurment datum that records the type of assay used.,,Anthony Huffman,,,,
VO:0010277,assay analysis tool version datum,data item,IAO:0000109,,A measurment datum that records the version of an analysis tool (software) used for an assay.,,Anthony Huffman,,,,
VO:0010278,assay platform datum,data item,IAO:0000109,,A measurment datum that records the type of platform used for an assay.,,Anthony Huffman,,,,
VO:0010279,pathogen attenuation datum,data item,IAO:0000109,,A measurment datum that records the utilization of an attenaution process on a pathogen.,,Anthony Huffman,,,,
VO:0010280,vaccination frequency datum,data item,IAO:0000109,,A measurment datum that records the number of occurences the host was vaccinated as part of the vaccination process.,,Anthony Huffman,,,,
VO:0010281,vaccination interval datum,data item,IAO:0000109,,A measurment datum that records the interval between vaccinations of a host.,,Anthony Huffman,,,,
VO:0010282,vaccine target datum,data item,IAO:0000109,,A measurment datum that records the intended target of a vaccine.,,Anthony Huffman,,,,
VO:0010283,vaccine vector datum,data item,IAO:0000109,,A measurment datum that records the vaccine vector of a vaccine.,,Anthony Huffman,,,,
VO:0010284,vaccine preservative datum,data item,IAO:0000109,,A measurment datum that records the vaccine preservative of a vaccine.,,Anthony Huffman,,,,