ID,LABEL,Parent,Parent (name),inSubset,Equivalent Class,realized in,has part,has quality,has role,characteristic of,is about,mentions,part of,realized in,axioms,definition,definition source,term editor,alternative label,editor note,comment,term tracker item
VO:0000912,chicken egg protein allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,chicken egg protein allergen is a vaccine allergen that is composed of chicken egg protein.,,Oliver He|Allen Xiang|Melanie Courtot,,"Egg protein may come from NCIS thesaurus egg - poultry, combination
of minimal anatomy terminology and NCBI taxonomy... Eventually, this term chicken egg protein allergen may become a cross product of sevreal ontology terms.",,
VO:0000913,latex vaccine allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000915,gelatin vaccine allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000916,protamine sulfate vaccine allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000917,polymyxin B vaccine allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000011,vaccine B cell epitope,VO:0000811,vaccine epitope,material entity,,,,,,,,,,,,,,Oliver He,B cell epitope in vaccine,,,
VO:0000105,vaccine T cell epitope,VO:0000811,vaccine epitope,material entity,,,,,,,,,,,,,,Oliver He,T cell epitope in vaccine,,,
VO:0000238,vaccine dominant epitope,VO:0000811,vaccine epitope,material entity,,,,,,,,,,,,,,Oliver He,dominant epitope in vaccine,,,
VO:0000533,vaccine subdominant epitope,VO:0000811,vaccine epitope,material entity,,,,,,,,,,,,,,Oliver He,subdominant epitope in vaccine,,,
VO:0001090,vaccinee priority group,VO:0000546,vaccinee population,material entity,,,,,,,,,,,,A population group that have priority for  vaccination when a vaccine is first available.,,Oliver He|Allen Xiang,vaccination target group,,,
VO:0010463,humoral immune marker,OPMI:0000446,immune biomarker,material entity,,,,,,,,,,,,An immune biomarker that indicates a humoral immune response.,,Oliver He,,,,
VO:0010464,cell-mediated immune marker,OPMI:0000446,immune biomarker,material entity,,,,,,,,,,,,An immune biomarker that indicates a cell-mediated immune response.,,Oliver He,,,,
VO:0004869,HUMAN ADENOVIRUS E SEROTYPE 4 STRAIN CL-68578,NCBITaxon:10508,Adenoviridae,organism,,,,,,,,,,,,,http://purl.bioontology.org/ontology/RXNORM/1299785,,,,"CUI: C3159361|RXAUI: 4624424|TUI: T129, T121",
VO:0004871,HUMAN ADENOVIRUS B SEROTYPE 7 STRAIN 55142,NCBITaxon:10508,Adenoviridae,organism,,,,,,,,,,,,,http://purl.bioontology.org/ontology/RXNORM/1802483,,,,"CUI: C4083103|RXAUI: 8240118|TUI: T129, T121",
VO:0000333,Protozoa,NCBITaxon:2759,Eukaryota,organism,,,,,,,,,,,,"Protozoa are a diverse group of unicellular eukaryotic organisms,[1] many of which are motile. Originally, protozoa had been defined as unicellular protists with animal-like behavior, e.g., movement. Protozoa were regarded as the partner group of protists to protophyta, which have plant-like behaviour, e.g., photosynthesis.(http://en.wikipedia.org/wiki/Protozoa)",,Asiyah Yu Lin,,,,
VO:0000472,nontypeable Haemophilus influenzae,NCBITaxon:727,Haemophilus influenzae,organism,,,,,,,,,,,,"Nontypeable Haemophilus influenzae (NTHi) is a nonencapsulated Haemophilus influenzae (a gram-negative bacterium). It is the cause of a number of human respiratory tract diseases, such as otitis media, sinusitis, bronchitis, and pneumonia.",,Oliver He,NTHi,,,
VO:0000741,Haemophilus influenzae serotype b,NCBITaxon:727,Haemophilus influenzae,organism,,,,,,,,,,,,,,Oliver He,,,,
VO:0000051,Balb/c mouse,NCBITaxon:10090,Mus musculus,organism,,,,,,,,,,,,,,Oliver He,,,,
VO:0000506,vaccine organism,OBI:0100026,organism,organism,('organism' and 'has role' some 'vaccine role'),,,,vaccine role,,,,,,,an organism that is used as part of a vaccine,,Oliver He,,,,
VO:0001374,vaccinee,OBI:0100026,organism,organism,,,,,,,,,,,,an organism that is vaccinated with a vaccine,,Oliver He|Asiyah Yu Lin|Melanie Courtot,vaccinated organism,,,
VO:0001381,immunized organism,OBI:0100026,organism,organism,,,,,,,,,,,,an organism that is immunized for a disease,,Oliver He|Asiyah Yu Lin|Melanie Courtot,,,,
VO:0001383,unvaccinated organism,OBI:0100026,organism,organism,,,,,,,,,,,,an organism that is unvaccinated with a vaccine,,Oliver He|Asiyah Yu Lin|Melanie Courtot,,,,
VO:0000879,Porphyromonas denticanis,NCBITaxon:836,Porphyromonas,organism,,,,,,,,,,,,,,Oliver He,,,,
VO:0010460,SARS Coronavirus 2 XBB.1.5,NCBITaxon:2697049,Severe acute respiratory syndrome coronavirus 2,organism,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0000126,live attenuated vaccine organism,VO:0000506,vaccine organism,organism,,,,vaccine organism live attenuated,,,,,,,,a vaccine organism that is live and attenuated,,Oliver He,,,,
VO:0000368,live vaccine organism,VO:0000506,vaccine organism,organism,,,,vaccine organism live,,,,,,,,a vaccine organism that is live,,Oliver He,,,,
VO:0000395,inactivated vaccine organism,VO:0000506,vaccine organism,organism,,,,vaccine organism inactivated,,,,,,,,,,Oliver He|Asiyah Yu Lin|Allen Xiang,a vaccine organism that is inactived/killed|killed vaccine organism,,,
VO:0001170,vaccine strain,VO:0000506,vaccine organism,organism,('vaccine organism' and 'has role' some 'vaccine strain role'),,,,vaccine strain role,,,,,,,a vaccine organism that is a specific strain,,Oliver He,,,,
VO:0000544,human vaccinee,VO:0001374,vaccinee,organism,,,,,,,,,human vaccinee,,,a vaccinee that is a human being,,,,,,
VO:0000897,age at vaccination,PATO:0000011,age,quality,,,,,,,,,,,,Age at vaccination is the age of an experiment animal at the time of vaccination.,,Oliver He,,,,
VO:0004921,human age,PATO:0000011,age,quality,,,,,,,,,,,,,,Anna Maria Masci|Anthony Huffman|Oliver He,,,"The human age is classified into four categories as Child (0-12 years), Adolescence (13-18 years), Adult (19-59 years) and Senior Adult (60 years and above) which is discussed in the paper. Reference: https://ieeexplore.ieee.org/abstract/document/6416855.",
VO:0000515,rough phenotype,VO:0000549,bacterial phenotype,quality,,,,,,,,,,,,,,Oliver He,,,,
VO:0000523,smooth phenotype,VO:0000549,bacterial phenotype,quality,,,,,,,,,,,,,,Oliver He,,,,
VO:0000246,edible,VO:0000245,edibility,quality,,,,,,,,,,,,"A quality of edibility that inheres in a bearer by virtue of the bearer being suitable for oral ingestion as food, drug, or vaccine.",,Oliver He,,,This term may be submitted to PATO.,
VO:0000330,inedible,VO:0000245,edibility,quality,,,,,,,,,,,,A quality of edibility that inheres in a bearer by virtue of the bearer being not suitable for oral ingestion.,,Oliver He|Melanie Courtot,,,,
VO:0000805,effective,VO:0000804,effectiveness,quality,,,,,,,,,,,,,,Oliver He,,,,
VO:0000806,ineffective,VO:0000804,effectiveness,quality,,,,,,,,,,,,,,Oliver He,,,,
VO:0000860,vaccine effectiveness,VO:0000804,effectiveness,quality,,,,,,,,,,,,Vaccine effectiveness is an effectiveness associated with a vaccine.,"Hadler TC, et al. Immunization in developing countries. In: Vaccines. Editors: Plotkin S, et al. 2008. p1542-71.",Oliver He,,,,
VO:0000247,vaccine efficacy,PATO:0001029,efficiency,quality,,,,,,,,,,,,"Vaccine efficacy is an efficacy of a vaccine in induction of protective immune response in vivo or protection against infection of a virulent pathogen. 
Specifically, vaccine efficacy (VE) is the percentage reduction in disease incidence attributable to vaccination, calculated by means of the following equation:
VE(%) = (U - V)/U x 100
where U = the incidence in unvaccinated people and 
V = the incidence in vaccinated people.
Ref: Hadler TC, et al. Immunization in developing countries. In: Vaccines. Editors: Plotkin S, et al. 2008. p1542-71.",,Oliver He,,,,
VO:0000456,protection efficacy,PATO:0001029,efficiency,quality,,,,,,,,,,,,"Protection efficacy is an efficiency that is associated with protection by a biological product (e.g., vaccine) against a disease.",,Oliver He,,,,
VO:0000129,vaccination frequency,PATO:0000044,frequency,quality,,,,,,,,,,,,Vaccination frequency is a qualitative term that represents how many times vaccination has occurred.,,Oliver He,,,,
VO:0000815,monthly,PATO:0000044,frequency,quality,,,,,,,,,,,,,,Oliver He,,,,
VO:0000816,biweekly,PATO:0000044,frequency,quality,,,,,,,,,,,,,,Oliver He,,,,
VO:0004922,child age,VO:0004921,human age,quality,,,,,,,,,,,,,,Anna Maria Masci|Anthony Huffman|Oliver He,,,"The human age is classified into four categories as Child (0-12 years), Adolescence (13-18 years), Adult (19-59 years) and Senior Adult (60 years and above) which is discussed in the paper. Reference: https://ieeexplore.ieee.org/abstract/document/6416855.",
VO:0004923,adolescence age,VO:0004921,human age,quality,,,,,,,,,,,,,,Anna Maria Masci|Anthony Huffman|Oliver He,,,"The human age is classified into four categories as Child (0-12 years), Adolescence (13-18 years), Adult (19-59 years) and Senior Adult (60 years and above) which is discussed in the paper. Reference: https://ieeexplore.ieee.org/abstract/document/6416855.",
VO:0004924,adult age,VO:0004921,human age,quality,,,,,,,,,,,,,,Anna Maria Masci|Anthony Huffman|Oliver He,,,"The human age is classified into four categories as Child (0-12 years), Adolescence (13-18 years), Adult (19-59 years) and Senior Adult (60 years and above) which is discussed in the paper. Reference: https://ieeexplore.ieee.org/abstract/document/6416855.",
VO:0004925,senior age,VO:0004921,human age,quality,,,,,,,,,,,,,,Anna Maria Masci|Anthony Huffman|Oliver He,,,"The human age is classified into four categories as Child (0-12 years), Adolescence (13-18 years), Adult (19-59 years) and Senior Adult (60 years and above) which is discussed in the paper. Reference: https://ieeexplore.ieee.org/abstract/document/6416855.",
VO:0001373,immunized by vaccination with a licensed vaccine,VO:0000151,immunized,quality,,,,,,,,,,,,"an organismal quality that indicates an organism (e.g., human) is immunized against a disease through vaccination with a licensed vaccine.",,Oliver He,,,,
VO:0000151,immunized,PATO:0001995,organismal quality,quality,,,,,,,,,,,,"an organismal quality that indicates an organism (e.g., human) is immunized against a disease.",,Oliver He|Asiyah Yu Lin,,"To assign the state of 'immunized', we will need to do some assay to measure indicators of immunity, e.g., antibody titers in serum samples.",,
VO:0001372,unimmunized,PATO:0001995,organismal quality,quality,,,,,,,,,,,,"an organismal quality that indicates an organism (e.g., human) is not yet immunized against a disease.",,Oliver He,,,,
VO:0001376,vaccinated,PATO:0001995,organismal quality,quality,,,,,,,,,,,,"an organismal quality that indicates an organism (e.g., human) is vaccinated with a vaccine.",,Oliver He,,,,
VO:0001377,unvaccinated,PATO:0001995,organismal quality,quality,,,,,,,,,,,,"an organismal quality that indicates an organism (e.g., human) is unvaccinated with any vaccine.",,Oliver He,,,,
VO:0000245,edibility,PATO:0001241,physical object quality,quality,,,,,,,,,,,,"A physical quality inhering in a bearer by virtue of the bearer being fit
to be eaten.",,Oliver He|Melanie Courtot,,"Melanie has submitted this term and its two subclasses to obo:
http://sourceforge.net/tracker/?func=detail&aid=2873643&group_id=76834&atid=595654",,
VO:0000549,bacterial phenotype,PATO:0001018,physical quality,quality,,,,,,,,,,,,,,Oliver He,,,,
VO:0000804,effectiveness,PATO:0001018,physical quality,quality,,,,,,,,,,,,"Effectiveness is physical quality that represents the capability of a single physical entity (e.g., vaccine) producing an effect (e.g, protection against a disease).",,Oliver He,,,,
VO:0001379,unvaccinated with a licensed vaccine,VO:0001377,unvaccinated,quality,,,,,,,,,,,,a unvaccinated quality that indicates an organism has not been vaccinated with a licensed vaccine.,,Oliver He,,,,
VO:0001378,vaccinated with a licensed vaccine,VO:0001376,vaccinated,quality,,,,,,,,,,,,a vaccinated quality that indicates an organism is vaccinated with a licensed vaccine.,,Oliver He,,,,
VO:0001148,no vaccine protection,VO:0000247,vaccine efficacy,quality,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0001149,significant vaccine protection,VO:0000247,vaccine efficacy,quality,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0001150,enhanced significant protection,VO:0000247,vaccine efficacy,quality,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0001014,bacterial vaccine organism live attenuated,VO:0000173,vaccine organism live attenuated,quality,('vaccine organism live attenuated' and 'characteristic of' some Bacteria),,,,,Bacteria,,,,,,a live attenuated quality of a bacterial vaccine strain. ,,Oliver He,,,,
VO:0001015,viral vaccine organism live attenuated,VO:0000173,vaccine organism live attenuated,quality,('vaccine organism live attenuated' and 'characteristic of' some Viruses),,,,,Viruses,,,,,,a live attenuated quality of a virus vaccine strain. ,,Oliver He,,,,
VO:0000211,vaccine organism inactivated,VO:0001139,vaccine organism viability,quality,,,,,,,,,,,,an organismal quality of a whole organism vaccine where the whole organism is inactivated/killed and lacks the capability of replication. ,,Oliver He,vaccine organism killed,,,
VO:0001145,vaccine organism live,VO:0001139,vaccine organism viability,quality,,,,,,,,,,,,vaccine being viable is a vaccine viability that indicates a vaccine uses live organism.,,Oliver He|Allen Xiang,,,,
VO:0001139,vaccine organism viability,PATO:0000169,viability,quality,,,,,,,,,,,,vaccine viability is a viability of a vaccine organism.,,Oliver He|Allen Xiang,,,,
VO:0000162,vaccine organism avirulent,PATO:0002146,virulence,quality,,,,,,,,,,,,a virulence of vaccine organism that shows an avirulent pheontype of the organism as the major component of a vaccine. The avirulence means that an vaccine organism is not virulent and does not cause pathogenic phenotype in a host organism.,,Oliver He,,,,
VO:0000173,vaccine organism live attenuated,PATO:0002146,virulence,quality,,,,,,,,,,,,a virulence of vaccine organism that shows an attenuated pheontype of the organism as the major component of a vaccine.,,Oliver He,,,,
VO:0000612,vaccine organism virulent,PATO:0002146,virulence,quality,,,,,,,,,,,,a virulence of vaccine that shows a virulent pheontype of the organism as the major component of a vaccine. The virulent phenotype means that an vaccine organism is virulent and is able to cause a pathogenic phenotype in a host organism.,,Oliver He,,,,
VO:0000621,laboratory animal model of vaccine research,VO:0000616,animal model of vaccine research,role,,,,,,,,,,,,"Animal model of vaccine research is a role played by some organism (e.g., mouse) that is used for vaccine research in the laboratory.",,Oliver He,,,,
VO:0000140,agglutinating antibody role,VO:0000148,antibody role,role,,,,,,,,,,,,,,Oliver He,,,,
VO:0000397,neutralizing antibody role,VO:0000148,antibody role,role,,,,,,,,,,,,,,Oliver He,,,,
VO:0000457,protective antigen role,OBI:0000237,antigen role,role,,,,,,,,,,,,An antigen that stimulates protective immunity when used in vivo.,,Oliver He,,,,
VO:0001280,immunization target role of pathogen,VO:0001275,immunization target role,role,,,,,,,,,,,,,,,,,,
VO:0001281,immunization target role of bacterial pathogen,VO:0001280,immunization target role of pathogen,role,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0001282,immunization target role of viral pathogen,VO:0001280,immunization target role of pathogen,role,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0001283,immunization target role of parasite pathogen,VO:0001280,immunization target role of pathogen,role,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0001284,immunization target role of fungal pathogen,VO:0001280,immunization target role of pathogen,role,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000812,USA licensed vaccine role,VO:0000630,licensed vaccine role,role,,,,,,,,,,,,a licensed vaccine role that indicates the vaccine occurs in USA.,,Oliver He,,,,
VO:0000864,Canada licensed vaccine role,VO:0000630,licensed vaccine role,role,,,,,,,,,,,,a licensed status that occurs in Canada.,,Oliver He,,,,
VO:0000685,recombinant bacterial vector vaccine role,VO:0000636,recombinant vector vaccine role,role,,,,,,,,,,,,a recombinant vector vaccine role that inheres in a bacterium that carries a vaccine antigen for development of a particular vaccine ,,Oliver He,,,,
VO:0000702,recombinant viral vector vaccine role,VO:0000636,recombinant vector vaccine role,role,,,,,,,,,,,,a recombinant vector vaccine role that inheres in a virus that carries a vaccine antigen for development of a particular vaccine ,,Oliver He,,,,
VO:0000148,antibody role,BFO:0000023,role,role,,,,,,,,,,,,,,Oliver He,,,,
VO:0000441,vaccine candidate role,BFO:0000023,role,role,,,,,,,,,,,,"Role of a material entity in an investigation, which has not been experimentally or clinically verified to induce a protection or treatment in vivo in a recipient organism. ",,Bjoern Peters|Oliver He,,"This role should be a subclass of 'test substance role', which will be mireoted from OBI by OntoFox.",,
VO:0000615,vaccine role,BFO:0000023,role,role,,,,,,,,,,,,Role that inheres in a prepared material entity that is designed to induce protection or treatment for a disease or infection. ,,Oliver He,,,,
VO:0000616,animal model of vaccine research,BFO:0000023,role,role,,,,,,,,,,,,"Animal model of vaccine research is a role played by some organism (e.g., mouse) that is used for vaccine research.",,Oliver He,,,,
VO:0000617,vaccine component role,BFO:0000023,role,role,,,,,,('part of' some vaccine),,,,,,A role that inheres in a material entity that becomes an ingredient of a vaccine. ,,Oliver He,,,,
VO:0001275,immunization target role,BFO:0000023,role,role,,,,,,,,,,,,"A role that represents a target (i.e., some disorder) of immunization.",,Oliver He|Allen Xiang,,,,
VO:0001361,virmugen role,BFO:0000023,role,role,,,,,,,,,,,,"a role that is inherenced in a gene that can be mutated in a virulent pathogen, leading to an attenuated strain serving as a live attenuated vaccine strain.",,Oliver He|Asiyah Yu Lin,,,,
VO:0005272,TLR7 receptor role,BFO:0000023,role,role,,,,,,,,,,,,A role of a material entity that binds to TLR7 and activates the receptor for pathogen recognition and activation of innate immunity.,https://en.wikipedia.org/wiki/TLR7,Oliver He,Toll-like receptor 7 agonist role,TLR7 agonist role,,
VO:0005274,Th1 immunity stimulatory role,BFO:0000023,role,role,,,,,,,,,,,,,https://en.wikipedia.org/wiki/T_helper_cell,,,,,
VO:0005275,Th2 immunity stimulatory role,BFO:0000023,role,role,,,,,,,,,,,,,https://en.wikipedia.org/wiki/T_helper_cell,,,,,
VO:0005304,TLR4 receptor role,BFO:0000023,role,role,,,,,,,,,,,,A role of a material entity that binds to TLR4 and activates the receptor for pathogen recognition and activation of innate immunity.,https://en.wikipedia.org/wiki/TLR4,Oliver He|Amogh Madireddi,Toll-like receptor 4 agonist role,TLR4 agonist role,,
VO:0005305,TLR3 receptor role,BFO:0000023,role,role,,,,,,,,,,,,A role of a material entity that binds to TLR3 and activates the receptor for pathogen recognition and activation of innate immunity.,https://en.wikipedia.org/wiki/TLR3,Oliver He|Amogh Madireddi,Toll-like receptor 3 agonist role,TLR3 agonist role,,
VO:0005306,TLR8 receptor role,BFO:0000023,role,role,,,,,,,,,,,,A role of a material entity that binds to TLR8 and activates the receptor for pathogen recognition and activation of innate immunity.,https://en.wikipedia.org/wiki/TLR8,Oliver He|Amogh Madireddi,Toll-like receptor 8 agonist role,TLR8 agonist role,,
VO:0005307,TLR2 receptor role,BFO:0000023,role,role,,,,,,,,,,,,A role of a material entity that binds to TLR2 and activates the receptor for pathogen recognition and activation of innate immunity.,https://en.wikipedia.org/wiki/TLR2,Oliver He|Amogh Madireddi,Toll-like receptor 2 agonist role,TLR2 agonist role,,
VO:0005378,NLRP3 receptor role,BFO:0000023,role,role,,,,,,,,,,,,A role of a material entity that binds to NLRP3.,https://en.wikipedia.org/wiki/NLRP3,Oliver He,,,,
VO:0000692,peptide vaccine role,VO:0000624,subunit vaccine role,role,,,,,,,,,,,,A subunit vaccine role that indicates the vaccine being a peptide vaccine. ,,Jie Zheng,,,,
VO:0001274,vaccine recipient role,OBI:0000444,target of material addition role,role,,immunization,,,,organism,,,,immunization,,Role that inheres in an organism that is the target of a vaccine administration (vaccination process).,,Oliver He|Allen Xiang|Barry Smith|Jie Zheng|Anna Maria Masci,,,,https://github.com/vaccineontology/VO/issues/677
VO:0000194,FDA licensed vaccine role,VO:0000812,USA licensed vaccine role,role,,,,,,,,,,,,a USA licensed vaccine role that inheres ina vaccine approven to be by the US FDA to be used for humans in the USA. ,,Oliver He,,,,
VO:0000439,USDA licensed vaccine role,VO:0000812,USA licensed vaccine role,role,,,,,,,,,,,,a USA licensed vaccine role that indicates the vaccine is for veterinary uses.,,Oliver He,,,,
VO:0000147,vaccine adjuvant role,VO:0000415,vaccine additive role,role,,,,,,,,,,,,an adjuvant role that inheres in a vaccine component which is added as part of a vaccine and induces enhanced adaptive immune response to the vaccine antigen. ,,Oliver He,,,"The Latin ""adjuvans"" means to help, particularly to reach a goal.

Adjuvant therapy for cancer is surgery followed by chemotherapy or radiation to help decrease the risk of the cancer recurring (coming back).

An adjuvant is a substance that helps and enhances the pharmacological effect of a drug or increases the ability of an antigen to stimulate the immune system.",
VO:0000885,vaccine preservative role,VO:0000415,vaccine additive role,role,,,,,,,,,,,,"a role inhers in a vaccine component that when added into a vccine formmulation, it can prevent the growth of bacteria or fungi that inadvertently may be introduced into the vaccine during administrating process or the manufacturing process.","P73 Chapter 6, Vaccine 5th edition by Plotkin, S. et al.",Oliver He|Asiyah Yu Lin,,,"The CFR requires that, with certain defined exceptions, preservatives must be added to mulitdose vials of vaccine. (P73 Chapter 6, Vaccine 5th edition by Plotkin, S. et al.)",
VO:0003025,vaccine emulsifier role,VO:0000415,vaccine additive role,role,,,,,,,,,,,,"a role inheres in the vaccine component when it is added into vaccine's formulation, it tends to stabilizes an emulsion by increasing its kinetic stablity.",,Asiyah Yu Lin,,,,
VO:0003026,vaccine stabilizer role,VO:0000415,vaccine additive role,role,,,,,,,,,,,,"a role inheres in vaccine component when added into vaccine's formulation, it tends to inhibit the reaction between two or more other vaccine substances in the final vaccine formulation; it also helps to protect the vaccine from adverse conditions such as the freeze-drying process or heat.",,Asiyah Yu Lin,,,,
VO:0000622,vaccine protective antigen role,VO:0000618,vaccine antigen role,role,,,,,,,,,,,,a vaccine antigen role that inheres in a vaccine antigen which is capable of inducing protective immunity. ,,Oliver He,,,,
VO:0000145,recombinant vaccine vector role,VO:0000617,vaccine component role,role,,,,,,,,,,,,a vaccine component role that inheres in a recombinant vaccine vector as a vaccine component. The combination of a recombinant vaccine vector and a heterogenous protective antigen(s) inserted inside the vector for a recombinant vector vaccine. ,,Oliver He|Asiyah Yu Lin,,,,
VO:0000415,vaccine additive role,VO:0000617,vaccine component role,role,,,,,,,,,,,,"A role inheres in a material entity, that has been added into a vaccine's formulation by the manufacture for a specific purpose. For example: adjuvant to enhance the effect of immunogen, perservatives, stablizers and those materials added for affecting PH and isotonicity.","Page 73, Chapter 6, Vaccine, 5th Edition. EXPERT CONSULT by Plotkin SA., et. al. 2008",Asiyah Yu Lin|Oliver He,,,,
VO:0000618,vaccine antigen role,VO:0000617,vaccine component role,role,,,,,,,,,,,,,,Oliver He,,,,
VO:0003050,vaccine conjugate role,VO:0000617,vaccine component role,role,,,,,,,,,,,,A role inheres in a material eneitity that union itself chemically with a relative weak vaccine antigen to form a new whole that can create an effective miinuogen. The ,,Asiyah Yu Lin,,,,
VO:0000137,combination vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine role that indicates the vaccine being a combination vaccine. ,,Oliver He,,,,
VO:0000208,vaccine in research role,VO:0000615,vaccine role,role,,,,,,,,,,,,"A vaccine role that is not licensed or in clinical trial; instead, it has been experimently approved to induce protection or treatment effect in vivo in at least an experimental animal model. ",,Oliver He,,,,
VO:0000504,whole organism vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,a vaccine role that indicates the vaccine being a whole organism vaccine. ,,Oliver He,,,,
VO:0000623,DNA vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine role that indicates the vaccine being a DNA vaccine. ,,Oliver He,,,,
VO:0000624,subunit vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine role that indicates the vaccine being a subunit vaccine. ,,Oliver He,,,,
VO:0000625,conjugate vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine role that indicates the vaccine being a conjugate vaccine. ,,Oliver He,,,,
VO:0000630,licensed vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,A licensed vaccine role is a regulation-assigned role that indicates that a vaccine obtains official approval for commercial production and selling on the market.,,Oliver He,,,,
VO:0000631,vaccine in clinical trial role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine in clinical trial role is a regulation-assigned role that inheres in a vaccine that is currently in clinical trial.,,Oliver He,,"In medical research, clinical trials are conducted to allow safety and efficacy data to be collected for new drugs or devices.",,
VO:0000636,recombinant vector vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine role that indicates the vaccine being a recombinant vector vaccine. ,,Oliver He,,,,
VO:0000728,RNA vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine role that indicates the vaccine being a RNA vaccine. ,,Oliver He,,,,
VO:0000807,toxoid vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine role that indicates the vaccine being a toxoid vaccine. ,,Oliver He,,,,
VO:0001182,vaccine strain role,VO:0000615,vaccine role,role,,,,,,,,,,,,a vaccine role that is borne by an organism strain serving as a vaccine,,Oliver He,,,,
VO:0003142,clinical trial vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine role that indicates a clinical trial status of a vaccine,,Oliver He,,,,
VO:0004913,virus-like particle vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,"A vaccine role that inheres in a vaccine using virus-like particles (VLPs), multiprotein structures that mimic the organization and conformation of authentic native viruses but lack the viral genome, potentially yielding safer and cheaper vaccines.",https://pubmed.ncbi.nlm.nih.gov/20923267/,Anthony Huffman|Oliver He,virus like particle vaccine role,,,
VO:0010393,vaccine monovalent role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine that is designed to immunize against a single antigen or single strain of a pathogen.,,Jie Zheng|Xingxian Li,,,,
VO:0010394,vaccine multivalent role,VO:0000615,vaccine role,role,,,,,,,,,,,,A vaccine that is designed to immunize against multiple antigen or multiple strain of a pathogen.,,Jie Zheng|Xingxian Li,,,,
VO:0007747,authorized vaccine role,VO:0000615,vaccine role,role,,,,,,,,,,,,Vaccine role that indicates a vaccine has received emergency use authorization (EUA) from regulatory authorities for distribution and administration to the public.,,Jie Zheng,,,,
VO:0000426,period of persistence of vaccine induced immune response,BFO:0000038,one-dimensional temporal region,temporal region,,,,,,,,,,,,period of persistence of vaccine induced immune response is a temporal interval during which a vaccine-induced immune response continuously exists. This term is related to the process 'persistence of vaccine induced immune response'.,,Oliver He|Melanie Courtot,,,,
VO:0000540,time of survival of live vaccine inside host,BFO:0000038,one-dimensional temporal region,temporal region,,,,,,,,,,,,time of survival of live vaccine inside host is a temporal interval during which a live vaccine survives inside a host organism. This entity is related to the process survival of live vaccine inside host.,,Oliver He|Melanie Courtot,,,,