ID,LABEL,inSubset,Parent,Equivalent Class,achieves_planned_objective,has part,has participant,has_specified_input,has_specified_output,induced by vaccination of,occurs in,part of,preceded by,realizes,definition,definition source,term editor,alternative ID,alternative label,seeAlso,editor note,example of usage,comment
ID,A rdfs:label,A http://www.geneontology.org/formats/oboInOwl#inSubset,C %,EC %,C achieves_planned_objective some % SPLIT=|,C 'has part' some % SPLIT=|,C 'has participant' some % SPLIT=|,C has_specified_input some % SPLIT=|,C has_specified_output some % SPLIT=|,C 'induced by vaccination of' some % SPLIT=|,C 'occurs in' some % SPLIT=|,C 'part of' some % SPLIT=|,C 'preceded by' some % SPLIT=|,C realizes some % SPLIT=|,A definition,A definition source SPLIT=|,A term editor SPLIT=|,A http://www.geneontology.org/formats/oboInOwl#hasAlternativeId SPLIT=|,A alternative label SPLIT=|,A rdfs:seeAlso SPLIT=|,A editor note SPLIT=|,A example of usage SPLIT=|,A rdfs:comment SPLIT=|
VO:0000591,vaccine protection assay,assay,assay,,,pathogen challenge|vaccination|vaccine protection efficacy measurement,,,,,,,,,An assay that is used to detect if a vaccine protects a host against infection of virulent pathogen after vaccine immunization.,,YH,,vaccine challenge experiment,,,,
VO:0000442,CFU measurement assay,assay,assay,,,,,,colony forming unit,,,,,,"CFU measurement assay is an assay that measures the colony forming unit (CFU) of a bacterium in a specific location (e.g., spleen of a mouse).",,"YH, MC",,,,,,
VO:0000242,CFU reduction assay,assay,assay,,,,,,,,,,,,CFU reduction assay is an assay that measures the reduction of the colony forming units of infected pathogens in vaccine-vaccinated animals compared to nonvaccinated animals.,,YH,,,,,,
VO:0000955,host survival to pathogen challenge after vaccination,assay,assay,,,,,,,,,,,,,,,,,,,,
VO:0000584,immune response detection assay,assay,assay,,,,,,,,,,,,An assay that is used to detect the immune response of a host to vaccination of a vaccine.,,YH,,,,,,
VO:0000038,vaccine persistence assay,assay,assay,,,,,,,,,,,,An assay that measures the persistent survival of live vaccine in a host in vivo.,,YH,,,,,,
VO:0001209,vaccine protection efficacy measurement,assay,assay,,,,,,,,,,,,vaccine protection efficacy measurement is an assay that measures the protection efficayc of a vaccine.,,YH,,,,,,
VO:0001132,assay of CFU reduction in liver,assay,CFU reduction assay,,,,,,,,,,,,assay of CFU reduction in liver is a CFU reduction assay that is measured using the extracted liver as the tissue for isolation of infected pathogens.,,YH,,,,,,
VO:0001133,assay of CFU reduction in lung,assay,CFU reduction assay,,,,,,,,,,,,assay of CFU reduction in lung is a CFU reduction assay that is measured using the extracted lung as the tissue for isolation of infected pathogens.,,YH,,,,,,
VO:0000243,assay of CFU reduction in spleen,assay,CFU reduction assay,,,,,,,,,,,,assay of CFU reduction in spleen is a CFU reduction assay that is measured using the extracted spleen as the tissue for isolation of infected pathogens.,,YH,,,,,,
VO:0000210,hemagglutination-inhibition assay,assay,immune response detection assay,,,,,,,,,,,,"an immune response detection assay that detects specific antiviral antibodies in a test serum. The serum, usually a twofold dilution series, is mixed with a standard number, usually 4 to 8 HA units, of virus and incubated prior to the addition of a standard suspension of erythrocytes. The highest dilution of serum that inhibits hemagglutination is the HI titer of the serum. For example, influenza (AI) viruses agglutinate erythrocytes through the interaction of the virus surface glycoprotein, the hemagglutinin (HA), with receptors on the surface of the erythrocyte. Inhibition of the agglutination reaction by HA subtype-specific antisera is the basis of the hemagglutination-inhibition (HI) assay.",,YH,,HI assay,,,,
VO:0000705,vaccine specific antibody test,assay,immune response detection assay,,,,,,,,,,,,,,YH,,,,,,
VO:0000494,vaccine immunization,process,active immunization,,immunization objective,,,vaccine,,,,,,('vaccine host role' and ('characteristic of' some organism)),artificial active immunization is an active immunization that occurs when a person or animal is vaccinated with a specific vaccine.,WEB: http://en.wikipedia.org/wiki/Immunization,"YH, XZ",,artificial active immunization,,,,
VO:0000495,induction of adaptive immune response to antigen,process,active immunization,,,,,,,,,,,,"induction of adaptive immune response to antigen is an active immunization process that results in induction of adaptive immune response to some antigens, for example, in a vaccine.",,"YH, XZ",,,,,,
VO:0000498,modification of adaptive immune response to antigen,process,active immunization,,,,,,,,,,,,"modification of adaptive immune response to antigen is an active immunization process that results in modification of an adaptive immune response to some antigens, for example, in a therapeutic vaccine.",,"YH, XZ",,,,,,
VO:0000493,natural active immunization,process,active immunization,,,,,,,,,,,,natural active immunization is an active immunization that occur naturally when a person or animal comes in contact with antigens includeing microbes.,WEB: http://en.wikipedia.org/wiki/Immunization,"YH, XZ",,,,,,
VO:0000002,vaccination,process,administering substance in vivo,'administering substance in vivo' and (realizes some ('material to be added role' and ('role of' some vaccine))) and (realizes some ('target of material addition role' and ('role of' some organism))),,,(organism and ('has role' some 'vaccine host role'))|vaccine,,,,,,,('material to be added role' and ('role of' some vaccine))|('target of material addition role' and ('role of' some organism)),"a process of administering substance in vivo that involves in adding a vaccine into a host (e.g., human) in vivo with the intent to invoke a protective or therapeutic adaptive immune response.",,"YH, BP",,vaccine administration,,,,
VO:0001184,vaccine protection ANOVA,process,ANOVA,,,,,,,,,,,,,,,,,,,,
VO:0000500,infection disorder prevention,process,disorder prevention,,,,,,,,,,,,infection disorder prevention is a process that prevents a disorder that is the physical basis of an infectious disease.,,"YH, XZ",,,,,,
VO:0000289,host response to vaccine adjuvant,process,host response to vaccine component,,,,,,,,,,,,a process that specifies host response to a vaccine adjuvant.,,YH,,,,,,
VO:0000291,host response to vaccine antigen,process,host response to vaccine component,,,,,,,,,,,,a process that specifies host response to a vaccine antigen.,,YH,,,,,,
VO:0000292,host response to vaccine vaccine vector,process,host response to vaccine component,,,,,,,,,,,,a process that specifies host response to a vaccine vector.,,YH,,,,,,
VO:0005309,Th1-biased immune profile,process,immune response profile,,,,,,,,,,,,"A biased immune profile that is characterized by the presense of T help cells Type 1 T helper (Th1) cells that produce interferon-gamma, interleukin (IL)-2, and tumour necrosis factor (TNF)-beta, which activate macrophages and are responsible for cell-mediated immunity and phagocyte-dependent protective responses.",https://en.wikipedia.org/wiki/T_helper_cell|https://pubmed.ncbi.nlm.nih.gov/10579123/,"Oliver He, Amogh Madireddi",,,,,,
VO:0005314,Th1/Th17 mixed immune profile,process,immune response profile,,,,,,,,,,,,An immune profile that is characterized by the presense of both Type 1 and Type 17 T helper  (Th1 and Th17) cells.,https://en.wikipedia.org/wiki/T_helper_cell,"Oliver He, Amogh Madireddi",,,,,,
VO:0005311,Th1/Th2 mixed immune profile,process,immune response profile,,,,,,,,,,,,An immune profile that is characterized by the presense of both Type 1 and Type 2 T helper  (Th1 and Th2) cells.,https://en.wikipedia.org/wiki/T_helper_cell|https://pubmed.ncbi.nlm.nih.gov/10579123/,"Oliver He, Amogh Madireddi",,,,,,
VO:0005376,Th1/Th2/Th17 mixed immune profile,process,immune response profile,,,,,,,,,,,,"An immune profile that is characterized by the presense of Type 1 Type 2, and Th17 T helper cells.",https://en.wikipedia.org/wiki/T_helper_cell|https://pubmed.ncbi.nlm.nih.gov/10579123/,"Oliver He, Amogh Madireddi",,,,,,
VO:0005313,Th17 immune profile,process,immune response profile,,,,,,,,,,,,An immune profile that is characterized by the presense of T helper 17 cells (Th17) that a subset of pro-inflammatory T helper cells defined by their production of interleukin 17 (IL-17). They are related to T regulatory cells and the signals that cause Th17s to differentiate actually inhibit Treg differentiation.,https://en.wikipedia.org/wiki/T_helper_17_cell,"Oliver He, Amogh Madireddi",,,,,,
VO:0005310,Th2-biased immune profile,process,immune response profile,,,,,,,,,,,,"A baised immune profile that is characterized by the presense of T type 2 Th (Th2) cells that produce IL-4, IL-5, IL-10, and IL-13, which are responsible for strong antibody production, eosinophil activation, and inhibition of several macrophage functions, thus providing phagocyte-independent protective responses.",https://en.wikipedia.org/wiki/T_helper_cell|https://pubmed.ncbi.nlm.nih.gov/10579123/,"Oliver He, Amogh Madireddi",,,,,,
VO:0000492,passive immunization,process,immunization,,immunization objective,,,,,,,,,,Passive immunization is an immunization process where pre-synthesized elements of the immune system are transferred to an organism so that the body does not need to produce these elements itself.,WEB: http://en.wikipedia.org/wiki/Immunization,,,,,"Currently, antibodies can be used for passive immunization. This method of immunization works very quickly. However, it is short lasting. The antibodies are naturally broken down. If there are no B cells to produce more antibodies, they will disappear.|YH, XZ",,
VO:0000491,active immunization,process,immunization,,,,,,,,,,,,"Active immunization is an immunization process that entails the introduction of a foreign molecule into the body, which causes the body itself to generate adaptive immunity against the target.",WEB: http://en.wikipedia.org/wiki/Immunization,"YH, XZ",,,,,,
VO:0001095,passive immunization by injecting pre-made immune element,process,passive immunization,,,,,,,,,,,,"passive immunization by injecting a recipient with pre-made antibody, antitoxin, epitope, etc.",,YL,,,,,,
VO:0000911,passive immunization using natural maternal antibody,process,passive immunization,,,,,,,,,,,,passive immunization that Immunity is transferred from mother to fetus through placental transfer of IgG or colostral transfer of IgA.,http://pathmicro.med.sc.edu/ghaffar/immunization-ver2.htm,YL,,,,,,
VO:0001165,intraperitoneal pathogen challenge,process,pathogen challenge,,,,,,,,,,,,intraperitoneal pathogen challenge is a pathogen challenge process that occurs in the intraperitoneal site of a host.,,"YH, ZX",,,,,,
VO:0000626,survival assessment,process,planned process,,assay objective,,,organism,('measurement datum' and ('is about' some organism)),,,,,,Survival assessment is an assay that measures the occurence of death events in one or more organisms that are monitored over time.,,YH,,,,Need to point out more specifically that survival/death is measured.,,
VO:0000596,vaccine clinical trial,process,planned process,,,,,organism|vaccine,,,,,,,"A processual entity by which a vaccine is tested clinically for safety and effectiveness. Clinical trials are conducted in phases. Classically, clinical trials unfold in three phases in order to gather data and information about a vaccine and its performance. This will form the basis of a dossier submitted to regulatory authorities by way of an application for licensure. After a vaccine is licensed and is being used by large numbers of people, a Phase IV study may or may not be taken for vaccine clinical evaluation.",,YH,,,,"Most vaccines against a pathogen (e.g., HIV) are not tested by vaccinating people and then deliberately exposing them to virulent pathogen (e.g., HIV). This strategy is never for a vaccine against a disease as serious as HIV.
The best way to determine if a vaccine is effective is to test it in a randomized, controlled, double-blind clinical trial. This type of trial is often referred to as the gold standard in medical research and provides the strongest evidence for the efficacy of a vaccine.",,
VO:0000440,vaccine approval process,process,planned process,,,,,,licensed vaccine,,,,,,vaccine approval process is a processual entity that involves approval of a vaccine.,"WEB:  http://energycommerce.house.gov/images/stories/Documents/PDF/publications/109_health.pdf @2009/10/06. This is the US Health Law which includes a section about vaccine.|WEB: http://www.hhs.gov/nvpo/factsheets/fs_tableII_doc2.htm @2009/10/06 #Following the FDA's review of a license application, the sponsor and the FDA may present their findings to the FDA's Vaccines and Related Biological Products Advisory Committee (VRBPAC). This non-FDA expert committee (scientists, physicians, biostatisticians, and a consumer representative) provides advice to the Agency regarding the safety and efficacy of the vaccine for the proposed indication.","YH, ZX, AR, and MC",,vaccine product approval process,,,WEB: http://news.prnewswire.com/ViewContent.aspx?ACCT=109&STORY=/www/story/09-15-2009/0005094621&EDATE @2009/10/06|WEB: http://www.examiner.com/x-7707-Infectious-Disease-Examiner~y2009m9d15-News-Release-H1N1-vaccines-get-FDA-approval-expected-to-be-available-in-4-weeks @2009/10/06. H1N1 vaccines get FDA approval. Food and Drug Administration announced today that it has approved four vaccines against the 2009 H1N1 influenza virus. Obtaining FDA licensure of this vaccine for A (H1N1) pandemic response is a key milestone that will enable Sanofi Pasteur to provide a licensed vaccine to the U.S. government to support pandemic immunization efforts,
VO:0000590,vaccine preparation,process,planned process,,,,,,vaccine,,,,,(concretizes some 'vaccine target specification'),vaccine preparation is a manufacturing process to produce a vaccine.,,"YH, BP",,vaccine generation|vaccine production,,,,
VO:0001180,laboratory test,process,planned process,,,,,,,,,,,,,,,,,,,,
VO:0002707,TK from Equid herpesvirus,process,planned process,,,,,,,,,,,,"A thymidine kinase-deficient mutant (PR1) is attenuated in mice and induced significant protection from challenge with wild type EHV-1 5 weeks after vaccination. In foals, PR1 also showed attenuation; however, the mutant induced only partial protection from challenge with EHV-1",,"Rebecca Racz, Yongqun He",,,NCBI_Protein_ID: 59214; PMID: 16930871,,,
VO:0000683,vaccine regulation,process,planned process,,,,,,,,,,,,"A processual entity that regulates vaccine-related processes, such as vaccine trial, vaccine license application.",,YH,,,,,,
VO:0000684,vaccine transportation,process,planned process,,,,,,,,,,,,A processual entity of transporting vaccine from one place to another place.,,YH,,,,,,
VO:0000288,vaccine-induced host response,process,process,,,,,(organism and ('has role' some 'host role'))|vaccine,,,,,,,a processual entity that specifies host response to a vaccine.,,YH,,,,,,
VO:0000496,disorder prevention,process,process,,,,,,,,,,,,disorder prevention is a processual entity that prevents a disorder that is the physical basis of a disease.,,"YH, XZ",,,,,,
VO:0000497,disorder treatment,process,process,,,,,,,,,,,,disorder treatment is a processual entity that leads to treat a disorder that is the physical basis of a disease.,,"YH, XZ",,,,,,
VO:0000290,host response to vaccine component,process,process,,,,,,,,,,,,a processual entity that specifies host response to a vaccine component.,,YH,,,,,,
VO:0000490,immunization,process,process,,,,,,,,,,,,immunization is a processual entity that primes or modifies an adaptivie immune response to some antigens.,WEB: http://en.wikipedia.org/wiki/Immunization,"YH, XZ, BP",,,,,,
VO:0001103,inactivation,process,process,,,,,,,,,,,,inactivation is a processual entity that produces inactive material.,,"YH, MC, XZ",,,,,,
VO:0001117,persistence of vaccine induced immune response,process,process,,,,,,,,,,,,persistence of vaccine induced immune response is a processual entity that indicates the persistence of an immune reponse induced by a vaccine in a vaccinated host.,,YH,,,,,,
VO:0001116,survival of live vaccine inside host,process,process,,,,,,,,,,,,survival of live vaccine inside host is a processual entity that represents the survival of a live vaccine inside its host. The time of the survival is often important for the success of the live vaccine.,,YH,,,,,,
VO:0005308,immune response profile,process,process profile,,,,,,,,,,,,,,,,,,,,
VO:0000800,vaccine storage,process,storage,,,,,,,,,,,,a storage process that is specifically for vaccine.,,YH,,,,,,
VO:0000444,vaccine licensing,process,vaccine approval process,,,,,,,,,,,,vaccine licensing is a vaccine approval process that involves in licensing a vaccine.,,"YH, ZX",,,,,,
VO:0000427,phase 1 vaccine trial,process,vaccine clinical trial,,,,,,,,,,,,A vaccine clinical trial that investigates the safety profile of a vaccine in a small group (10-50) of healthy volunteers.,,YH,,,,,,
VO:0000428,phase 2 vaccine trial,process,vaccine clinical trial,,,,,,,,,,,,A vaccine clinical trial that studies vaccine efficacy with a target population (numbering 50-100). Different dosage levels will also be explored at this stage to determine the optimum dose.,,YH,,,,,,
VO:0000429,phase 3 vaccine trial,process,vaccine clinical trial,,,,,,,,,,,,"A vaccine clinical trial that takes the trial to a large-scale safety and efficacy study in a relevant patient population, usually in excess of 3,000.",,YH,,,,,,
VO:0000430,phase 4 vaccine trial,process,vaccine clinical trial,,,,,,,,,,,,The final stage of vaccine clinical evaluation. Phase IV occurs after a vaccine or therapy is licensed and is being used by large numbers of people. These studies are not always required or completed.,,YH,,,,,,
VO:0001276,bacterial vaccine immunization,process,vaccine immunization,,,,,,,,,,,,,,"YH, ZX",,,,,,
VO:0001278,cancer vaccine immunization,process,vaccine immunization,,,,,,,,,,,,,,"YH, ZX",,,,,,
VO:0001279,parasite vaccine immunization,process,vaccine immunization,,,,,,,,,,,,,,"YH, ZX",,,,,,
VO:0001277,viral vaccine immunization,process,vaccine immunization,,,,,,,,,,,,,,"YH, ZX",,,,,,
VO:0010704,review of vaccine license application,process,vaccine regulation,,,,,,,,,,,,A vaccine regulatory process that is for vaccine regulatory agent to review vaccine license application from vaccine producer.,,YH,,,,,,
VO:0000582,vaccine license application,process,vaccine regulation,,,,,,,,,,,,A vaccine regulatory process that is for vaccine producer to apply for vaccine license.,,YH,,,,,,
VO:0010702,vaccine saftey regulation,process,vaccine regulation,,,,,,,,,,,,A vaccine regulation for vaccine safety.,,YH,,,,,,
VO:0000706,vaccine trial regulation,process,vaccine regulation,,,,,,,,,,,,A vaccine regulation process for vaccine clinical trials.,,YH,,,,,,
VO:0000801,vaccine storage at room temperature,process,vaccine storage,,,,,,,,,,,,"a vaccine storage that is execuated at room temperature. Room temperature is also referred to as ambient temperature. Room temperature denotes a certain temperature within enclosed space at which humans are accustomed. Room temperature is usually indicated by general human comfort, with the common range of 10 degree C (50 degree F) to 28 degree C (82.4 degree F).",,YH,,,,,,
VO:0000803,vaccine storage in freezer,process,vaccine storage,,,,,,,,,,,,vaccine storage that is executed in freezer under 0^C.,,YH,,,,,,
VO:0000802,vaccine storage in refrigerator,process,vaccine storage,,,,,,,,,,,,"vaccine storage that is executed in refrigerator, usually 0-10^C.",,YH,,,,,,
VO:0000903,secondary vaccination,vaccination,boost vaccination,,,,,,,,,,primary vaccination,,Secondary vaccination is a vaccination that is performed immediately after the primary or the first vaccination.,,"YH, Thom Todd",,,,,,
VO:0000332,tertiary vaccination,vaccination,boost vaccination,,,,,,,,,,secondary vaccination,,tertiary vaccination is a vaccination that is performed at the third time in a row.,,"YH, Thom Todd",,,,,,
VO:0000371,quaternary vaccination,vaccination,boost vaccination,,,,,,,,,,tertiary vaccination,,quaternary vaccination is a vaccination that is performed at the fourth  time in a row.,,"YH, Thom Todd",,,,,,
VO:0000382,pharyngeal mucosal vaccination,vaccination,oral vaccination,,,,,,,,pharyngeal mucosal route,,,,,,,,,,,,
VO:0000381,sublingual vaccination,vaccination,oral vaccination,,,,,,,,sublingual route,,,,,,,,,,,,
VO:0003019,intradermal vaccination,vaccination,vaccination,,,,,,,,intradermal route,,,,vaccination process that occurs in intradermal route.,,YL,,,,,,
VO:0003018,intragastric vaccination,vaccination,vaccination,,,,,,,,intragastric route,,,,vaccination that occurs in the intagastric route.,,YL,,,,,,
